sentence,tags,tokens,numeric_tags
"Subsequently, head circumference grew rapidly adding 13 centimeters by age 35 days, repeated brain US revealed dilated ventricles confirmed by head CT, which also showed subcortical and white matter cortical hemorrhage in the occipital region.","['O', 'B-Diagnostic_procedure', 'I-Diagnostic_procedure', 'B-Lab_value', 'I-Lab_value', 'B-Lab_value', 'I-Lab_value', 'I-Lab_value', 'O', 'O', 'B-Date', 'I-Date', 'O', 'B-Biological_structure', 'B-Diagnostic_procedure', 'O', 'B-Sign_symptom', 'B-Biological_structure', 'O', 'O', 'B-Biological_structure', 'B-Diagnostic_procedure', 'O', 'O', 'O', 'B-Biological_structure', 'O', 'B-Biological_structure', 'I-Biological_structure', 'I-Biological_structure', 'B-Sign_symptom', 'O', 'O', 'B-Biological_structure', 'I-Biological_structure']","['subsequently', 'head', 'circumference', 'grew', 'rapidly', 'adding', '13', 'centimeters', 'by', 'age', '35', 'days', 'repeated', 'brain', 'us', 'revealed', 'dilated', 'ventricles', 'confirmed', 'by', 'head', 'ct', 'which', 'also', 'showed', 'subcortical', 'and', 'white', 'matter', 'cortical', 'hemorrhage', 'in', 'the', 'occipital', 'region']","[0, 19, 20, 23, 24, 23, 24, 24, 0, 0, 39, 40, 0, 11, 19, 0, 9, 11, 0, 0, 11, 19, 0, 0, 0, 11, 0, 11, 12, 12, 9, 0, 0, 11, 12]"
"At 15 weeks, a ventriculoperitoneal (VP) shunt was inserted.","['O', 'B-Date', 'I-Date', 'O', 'B-Detailed_description', 'O', 'B-Therapeutic_procedure', 'O', 'O']","['at', '15', 'weeks', 'a', 'ventriculoperitoneal', 'vp', 'shunt', 'was', 'inserted']","[0, 39, 40, 0, 13, 0, 33, 0, 0]"
Head CT performed at age 2 years showed prominent dilatation of the ventricles (Figure 1).,"['B-Biological_structure', 'B-Diagnostic_procedure', 'O', 'O', 'O', 'B-Date', 'I-Date', 'O', 'O', 'B-Sign_symptom', 'O', 'O', 'B-Biological_structure', 'O', 'O']","['head', 'ct', 'performed', 'at', 'age', '2', 'years', 'showed', 'prominent', 'dilatation', 'of', 'the', 'ventricles', 'figure', '1']","[11, 19, 0, 0, 0, 39, 40, 0, 0, 9, 0, 0, 11, 0, 0]"
"Due to hypotonia with feeding difficulties and recurrent aspirations, a percutaneous endoscopic gastrostomy (PEG) feeding tube was inserted at age 10 weeks.","['O', 'O', 'B-Disease_disorder', 'O', 'B-Disease_disorder', 'I-Disease_disorder', 'O', 'B-Detailed_description', 'B-Disease_disorder', 'O', 'B-Detailed_description', 'I-Detailed_description', 'I-Detailed_description', 'O', 'B-Therapeutic_procedure', 'I-Therapeutic_procedure', 'O', 'O', 'O', 'O', 'B-Date', 'I-Date']","['due', 'to', 'hypotonia', 'with', 'feeding', 'difficulties', 'and', 'recurrent', 'aspirations', 'a', 'percutaneous', 'endoscopic', 'gastrostomy', 'peg', 'feeding', 'tube', 'was', 'inserted', 'at', 'age', '10', 'weeks']","[0, 0, 25, 0, 25, 26, 0, 13, 25, 0, 13, 14, 14, 0, 33, 34, 0, 0, 0, 0, 39, 40]"
Eye examination at the age of 15 weeks revealed cortical blindness.,"['B-Biological_structure', 'B-Diagnostic_procedure', 'O', 'O', 'O', 'O', 'B-Date', 'I-Date', 'O', 'B-Biological_structure', 'B-Disease_disorder']","['eye', 'examination', 'at', 'the', 'age', 'of', '15', 'weeks', 'revealed', 'cortical', 'blindness']","[11, 19, 0, 0, 0, 0, 39, 40, 0, 11, 25]"
Hearing test ABR was normal.,"['B-Diagnostic_procedure', 'I-Diagnostic_procedure', 'B-Diagnostic_procedure', 'O', 'B-Lab_value']","['hearing', 'test', 'abr', 'was', 'normal']","[19, 20, 19, 0, 23]"
"Repeated cardiac Echo continued to show mild tricuspid regurge, mild left ventricular hypertrophy (LVH) and pulmonary hypertension (PHTN) in the first months of life.","['O', 'B-Biological_structure', 'B-Diagnostic_procedure', 'O', 'O', 'O', 'B-Severity', 'B-Sign_symptom', 'I-Sign_symptom', 'B-Severity', 'B-Sign_symptom', 'I-Sign_symptom', 'I-Sign_symptom', 'O', 'O', 'B-Sign_symptom', 'I-Sign_symptom', 'O', 'O', 'O', 'B-Date', 'I-Date', 'I-Date', 'I-Date']","['repeated', 'cardiac', 'echo', 'continued', 'to', 'show', 'mild', 'tricuspid', 'regurge', 'mild', 'left', 'ventricular', 'hypertrophy', 'lvh', 'and', 'pulmonary', 'hypertension', 'phtn', 'in', 'the', 'first', 'months', 'of', 'life']","[0, 11, 19, 0, 0, 0, 49, 9, 10, 49, 9, 10, 10, 0, 0, 9, 10, 0, 0, 0, 39, 40, 40, 40]"
"At the age of 4 months, he started developing hypertrophic obstructive cardiomyopathy, he was started on diuretics and beta blockers and later calcium channel blockers were added; follow-up Echo at the age of 2 years revealed improvement in the LVH and no PHTN.","['O', 'O', 'O', 'O', 'B-Date', 'I-Date', 'O', 'O', 'O', 'B-Detailed_description', 'B-Detailed_description', 'B-Disease_disorder', 'O', 'O', 'O', 'O', 'B-Medication', 'O', 'B-Medication', 'I-Medication', 'O', 'O', 'B-Medication', 'I-Medication', 'I-Medication', 'O', 'O', 'O', 'B-Diagnostic_procedure', 'O', 'O', 'O', 'O', 'B-Date', 'I-Date', 'O', 'O', 'O', 'O', 'B-Sign_symptom', 'O', 'O', 'B-Sign_symptom']","['at', 'the', 'age', 'of', '4', 'months', 'he', 'started', 'developing', 'hypertrophic', 'obstructive', 'cardiomyopathy', 'he', 'was', 'started', 'on', 'diuretics', 'and', 'beta', 'blockers', 'and', 'later', 'calcium', 'channel', 'blockers', 'were', 'added', 'follow-up', 'echo', 'at', 'the', 'age', 'of', '2', 'years', 'revealed', 'improvement', 'in', 'the', 'lvh', 'and', 'no', 'phtn']","[0, 0, 0, 0, 39, 40, 0, 0, 0, 13, 13, 25, 0, 0, 0, 0, 57, 0, 57, 58, 0, 0, 57, 58, 58, 0, 0, 0, 19, 0, 0, 0, 0, 39, 40, 0, 0, 0, 0, 9, 0, 0, 9]"
Coenzyme Q10 supplementation (60 mg twice daily) was initiated at 4 months but discontinued by the parents.,"['B-Medication', 'I-Medication', 'O', 'O', 'I-Dosage', 'I-Dosage', 'O', 'O', 'O', 'B-Date', 'I-Date', 'O', 'B-Detailed_description', 'O', 'O', 'B-Subject']","['coenzyme', 'q10', 'supplementation', '60', 'mg', 'twice', 'daily', 'was', 'initiated', 'at', '4', 'months', 'but', 'discontinued', 'by', 'the', 'parents']","[57, 58, 0, 0, 60, 60, 0, 0, 0, 39, 40, 0, 13, 0, 0, 71]"
"In the following months, the patient was admitted several times to the hospital mainly due to chest infections, shunt malfunctioning and fevers.","['O', 'O', 'B-Duration', 'I-Duration', 'O', 'O', 'O', 'B-Clinical_event', 'B-Frequency', 'I-Frequency', 'O', 'O', 'B-Nonbiological_location', 'O', 'O', 'O', 'B-Biological_structure', 'B-Disease_disorder', 'B-Disease_disorder', 'I-Disease_disorder', 'O', 'B-Sign_symptom']","['in', 'the', 'following', 'months', 'the', 'patient', 'was', 'admitted', 'several', 'times', 'to', 'the', 'hospital', 'mainly', 'due', 'to', 'chest', 'infections', 'shunt', 'malfunctioning', 'and', 'fevers']","[0, 0, 37, 38, 0, 0, 0, 5, 43, 44, 0, 0, 7, 0, 0, 0, 11, 25, 25, 26, 0, 9]"
He died at the age of 30 months due to severe hypoxemia after a febrile illness with chest infection and pulmonary edema; parents refused mechanical ventilation and refused reanimation.,"['O', 'B-Outcome', 'O', 'O', 'B-Date', 'I-Date', 'I-Date', 'I-Date', 'O', 'O', 'B-Severity', 'B-Sign_symptom', 'O', 'O', 'B-Disease_disorder', 'I-Disease_disorder', 'O', 'B-Biological_structure', 'B-Disease_disorder', 'O', 'B-Biological_structure', 'B-Sign_symptom', 'B-Subject', 'B-Detailed_description', 'B-Therapeutic_procedure', 'I-Therapeutic_procedure', 'O', 'B-Detailed_description', 'B-Therapeutic_procedure']","['he', 'died', 'at', 'the', 'age', 'of', '30', 'months', 'due', 'to', 'severe', 'hypoxemia', 'after', 'a', 'febrile', 'illness', 'with', 'chest', 'infection', 'and', 'pulmonary', 'edema', 'parents', 'refused', 'mechanical', 'ventilation', 'and', 'refused', 'reanimation']","[0, 53, 0, 0, 39, 40, 40, 40, 0, 0, 49, 9, 0, 0, 25, 26, 0, 11, 25, 0, 11, 9, 71, 13, 33, 34, 0, 13, 33]"
"A woman in her 60s was found to have screen detected invasive lobular breast carcinoma of the right breast and invasive ductal carcinoma, no special type, of the left breast.","['O', 'B-Sex', 'O', 'O', 'B-Age', 'O', 'O', 'O', 'O', 'B-Diagnostic_procedure', 'O', 'B-Detailed_description', 'B-Detailed_description', 'B-Disease_disorder', 'I-Disease_disorder', 'O', 'O', 'B-Biological_structure', 'I-Biological_structure', 'O', 'B-Detailed_description', 'B-Disease_disorder', 'I-Disease_disorder', 'B-Detailed_description', 'I-Detailed_description', 'I-Detailed_description', 'O', 'O', 'B-Biological_structure', 'I-Biological_structure']","['a', 'woman', 'in', 'her', '60s', 'was', 'found', 'to', 'have', 'screen', 'detected', 'invasive', 'lobular', 'breast', 'carcinoma', 'of', 'the', 'right', 'breast', 'and', 'invasive', 'ductal', 'carcinoma', 'no', 'special', 'type', 'of', 'the', 'left', 'breast']","[0, 3, 0, 0, 1, 0, 0, 0, 0, 19, 0, 13, 13, 25, 26, 0, 0, 11, 12, 0, 13, 25, 26, 13, 14, 14, 0, 0, 11, 12]"
Staging CT imaging prior to mastectomy showed a 12 cm pelvic mass which on initial impression was thought to be a fibroid uterus.,"['O', 'B-Diagnostic_procedure', 'I-Diagnostic_procedure', 'O', 'O', 'B-Therapeutic_procedure', 'O', 'O', 'O', 'B-Biological_structure', 'B-Sign_symptom', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Sign_symptom', 'B-Biological_structure']","['staging', 'ct', 'imaging', 'prior', 'to', 'mastectomy', 'showed', 'a', '12', 'cm', 'pelvic', 'mass', 'which', 'on', 'initial', 'impression', 'was', 'thought', 'to', 'be', 'a', 'fibroid', 'uterus']","[0, 19, 20, 0, 0, 33, 0, 0, 0, 11, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 11]"
"Associated postmenopausal bleeding led to pelvic ultrasound, hysteroscopy and biopsy.","['O', 'B-Detailed_description', 'B-Sign_symptom', 'O', 'O', 'B-Biological_structure', 'B-Diagnostic_procedure', 'B-Diagnostic_procedure', 'O', 'B-Diagnostic_procedure']","['associated', 'postmenopausal', 'bleeding', 'led', 'to', 'pelvic', 'ultrasound', 'hysteroscopy', 'and', 'biopsy']","[0, 13, 9, 0, 0, 11, 19, 19, 0, 19]"
"The biopsy showed undifferentiated sarcoma, unclassifiable with immunohistochemistry.","['O', 'B-Diagnostic_procedure', 'O', 'B-Detailed_description', 'B-Disease_disorder', 'B-Lab_value', 'O', 'B-Diagnostic_procedure']","['the', 'biopsy', 'showed', 'undifferentiated', 'sarcoma', 'unclassifiable', 'with', 'immunohistochemistry']","[0, 19, 0, 13, 25, 23, 0, 19]"
Following discussion at a multidisciplinary team meeting it was felt that the uterine tumour was a separate primary malignancy rather than metastasis from the breast.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Biological_structure', 'B-Sign_symptom', 'O', 'O', 'O', 'B-Detailed_description', 'I-Detailed_description', 'O', 'O', 'B-Disease_disorder', 'O', 'O', 'B-Biological_structure']","['following', 'discussion', 'at', 'a', 'multidisciplinary', 'team', 'meeting', 'it', 'was', 'felt', 'that', 'the', 'uterine', 'tumour', 'was', 'a', 'separate', 'primary', 'malignancy', 'rather', 'than', 'metastasis', 'from', 'the', 'breast']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 9, 0, 0, 0, 13, 14, 0, 0, 25, 0, 0, 11]"
Hysterectomy and bilateral salpingo-oophorectomy was performed for both treatment purposes and to fully categorise the malignancy to guide further adjuvant therapy.,"['B-Therapeutic_procedure', 'O', 'B-Detailed_description', 'B-Therapeutic_procedure', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Therapeutic_procedure', 'I-Therapeutic_procedure']","['hysterectomy', 'and', 'bilateral', 'salpingo-oophorectomy', 'was', 'performed', 'for', 'both', 'treatment', 'purposes', 'and', 'to', 'fully', 'categorise', 'the', 'malignancy', 'to', 'guide', 'further', 'adjuvant', 'therapy']","[33, 0, 13, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 34]"
Histological examination of the resection specimen showed a partially necrotic tumour with a discrete outline located within and extending throughout the myometrium.,"['B-Diagnostic_procedure', 'I-Diagnostic_procedure', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Detailed_description', 'I-Detailed_description', 'B-Sign_symptom', 'O', 'O', 'B-Detailed_description', 'I-Detailed_description', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Biological_structure']","['histological', 'examination', 'of', 'the', 'resection', 'specimen', 'showed', 'a', 'partially', 'necrotic', 'tumour', 'with', 'a', 'discrete', 'outline', 'located', 'within', 'and', 'extending', 'throughout', 'the', 'myometrium']","[19, 20, 0, 0, 0, 0, 0, 0, 13, 14, 9, 0, 0, 13, 14, 0, 0, 0, 0, 0, 0, 11]"
"The tumour was composed of malignant spindle cells (figure 1A), with an intermittent component of pleomorphic cells with abundant eosinophilic cytoplasm.","['O', 'B-Coreference', 'O', 'O', 'O', 'B-Detailed_description', 'I-Detailed_description', 'I-Detailed_description', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Detailed_description', 'I-Detailed_description', 'O', 'O', 'B-Detailed_description', 'I-Detailed_description']","['the', 'tumour', 'was', 'composed', 'of', 'malignant', 'spindle', 'cells', 'figure', '1a', 'with', 'an', 'intermittent', 'component', 'of', 'pleomorphic', 'cells', 'with', 'abundant', 'eosinophilic', 'cytoplasm']","[0, 29, 0, 0, 0, 13, 14, 14, 0, 0, 0, 0, 0, 0, 0, 13, 14, 0, 0, 13, 14]"
Plentiful osteoclast-like giant cells were present (figure 1B).,"['B-Detailed_description', 'B-Detailed_description', 'B-Sign_symptom', 'I-Sign_symptom', 'O', 'O', 'O', 'O']","['plentiful', 'osteoclast-like', 'giant', 'cells', 'were', 'present', 'figure', '1b']","[13, 13, 9, 10, 0, 0, 0, 0]"
Mitoses were numerous and structurally abnormal forms were common.,"['B-Diagnostic_procedure', 'O', 'B-Lab_value', 'O', 'B-Sign_symptom', 'I-Sign_symptom', 'I-Sign_symptom', 'O', 'O']","['mitoses', 'were', 'numerous', 'and', 'structurally', 'abnormal', 'forms', 'were', 'common']","[19, 0, 23, 0, 9, 10, 10, 0, 0]"
Neoplastic cells were surrounded by hyaline osteoid matrix and foci of coarse neoplastic woven bone (figure 1C).,"['B-Coreference', 'I-Coreference', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['neoplastic', 'cells', 'were', 'surrounded', 'by', 'hyaline', 'osteoid', 'matrix', 'and', 'foci', 'of', 'coarse', 'neoplastic', 'woven', 'bone', 'figure', '1c']","[29, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Generous sampling of the tumour showed no admixed neoplastic epithelial elements, thus ruling out the more common carcinosarcoma (malignant mixed Müllerian tumour).","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Sign_symptom', 'I-Sign_symptom', 'I-Sign_symptom', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-Disease_disorder', 'I-Disease_disorder', 'I-Disease_disorder']","['generous', 'sampling', 'of', 'the', 'tumour', 'showed', 'no', 'admixed', 'neoplastic', 'epithelial', 'elements', 'thus', 'ruling', 'out', 'the', 'more', 'common', 'carcinosarcoma', 'malignant', 'mixed', 'müllerian', 'tumour']","[0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 10, 0, 0, 0, 0, 0, 0, 0, 0, 26, 26, 26]"
"Tumour cells showed immunohistochemical expression for vimentin, smooth muscle actin (SMA), desmin (focally) and CD99.","['B-Coreference', 'I-Coreference', 'O', 'B-Diagnostic_procedure', 'B-Lab_value', 'O', 'B-Diagnostic_procedure', 'B-Diagnostic_procedure', 'I-Diagnostic_procedure', 'I-Diagnostic_procedure', 'O', 'B-Diagnostic_procedure', 'O', 'O', 'B-Diagnostic_procedure']","['tumour', 'cells', 'showed', 'immunohistochemical', 'expression', 'for', 'vimentin', 'smooth', 'muscle', 'actin', 'sma', 'desmin', 'focally', 'and', 'cd99']","[29, 30, 0, 19, 23, 0, 19, 19, 20, 20, 0, 19, 0, 0, 19]"
Epithelial markers were not expressed.,"['B-Diagnostic_procedure', 'I-Diagnostic_procedure', 'O', 'B-Lab_value', 'I-Lab_value']","['epithelial', 'markers', 'were', 'not', 'expressed']","[19, 20, 0, 23, 24]"
The morphological and immunohistochemical appearances were in keeping with primary uterine osteoblastic variant of osteosarcoma.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Detailed_description', 'I-Detailed_description', 'I-Detailed_description', 'I-Detailed_description', 'O', 'B-Disease_disorder']","['the', 'morphological', 'and', 'immunohistochemical', 'appearances', 'were', 'in', 'keeping', 'with', 'primary', 'uterine', 'osteoblastic', 'variant', 'of', 'osteosarcoma']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 14, 14, 14, 0, 25]"
"Unfortunately, despite treatment, further CT imaging showed the development of multiple peritoneal and pulmonary deposits, confirmed on biopsy to be metastatic osteosarcoma.","['O', 'O', 'O', 'O', 'B-Diagnostic_procedure', 'I-Diagnostic_procedure', 'O', 'O', 'O', 'O', 'B-Detailed_description', 'B-Biological_structure', 'O', 'B-Biological_structure', 'B-Sign_symptom', 'O', 'O', 'B-Diagnostic_procedure', 'O', 'O', 'B-Detailed_description', 'B-Disease_disorder']","['unfortunately', 'despite', 'treatment', 'further', 'ct', 'imaging', 'showed', 'the', 'development', 'of', 'multiple', 'peritoneal', 'and', 'pulmonary', 'deposits', 'confirmed', 'on', 'biopsy', 'to', 'be', 'metastatic', 'osteosarcoma']","[0, 0, 0, 0, 19, 20, 0, 0, 0, 0, 13, 11, 0, 11, 9, 0, 0, 19, 0, 0, 13, 25]"
The patient received palliative chemotherapy and died several months later.,"['O', 'O', 'O', 'B-Detailed_description', 'B-Therapeutic_procedure', 'O', 'B-Outcome', 'B-Date', 'I-Date', 'I-Date']","['the', 'patient', 'received', 'palliative', 'chemotherapy', 'and', 'died', 'several', 'months', 'later']","[0, 0, 0, 13, 33, 0, 53, 39, 40, 40]"
"A 56-year-old African American man who initially presented with diarrhea, weight loss and painless jaundice, was subsequently found to have adenocarcinoma of the head of pancreas.","['O', 'B-Age', 'B-Personal_background', 'I-Personal_background', 'B-Sex', 'O', 'O', 'B-Clinical_event', 'O', 'B-Sign_symptom', 'B-Sign_symptom', 'I-Sign_symptom', 'O', 'B-Detailed_description', 'B-Sign_symptom', 'O', 'O', 'O', 'O', 'O', 'B-Disease_disorder', 'O', 'O', 'B-Biological_structure', 'I-Biological_structure', 'I-Biological_structure']","['a', '56-year-old', 'african', 'american', 'man', 'who', 'initially', 'presented', 'with', 'diarrhea', 'weight', 'loss', 'and', 'painless', 'jaundice', 'was', 'subsequently', 'found', 'to', 'have', 'adenocarcinoma', 'of', 'the', 'head', 'of', 'pancreas']","[0, 1, 55, 56, 3, 0, 0, 5, 0, 9, 9, 10, 0, 13, 9, 0, 0, 0, 0, 0, 25, 0, 0, 11, 12, 12]"
An initial workup revealed localized cancer with no evidence of distant metastases.,"['O', 'B-Diagnostic_procedure', 'I-Diagnostic_procedure', 'O', 'B-Detailed_description', 'B-Disease_disorder', 'O', 'O', 'O', 'O', 'B-Detailed_description', 'B-Disease_disorder']","['an', 'initial', 'workup', 'revealed', 'localized', 'cancer', 'with', 'no', 'evidence', 'of', 'distant', 'metastases']","[0, 19, 20, 0, 13, 25, 0, 0, 0, 0, 13, 25]"
He then underwent pancreaticoduodenectomy with complete surgical resection of a 5cm moderately differentiated pancreatic adenocarcinoma.,"['O', 'O', 'O', 'B-Therapeutic_procedure', 'O', 'B-Detailed_description', 'B-Therapeutic_procedure', 'I-Therapeutic_procedure', 'O', 'O', 'B-Distance', 'B-Detailed_description', 'I-Detailed_description', 'B-Biological_structure', 'B-Disease_disorder']","['he', 'then', 'underwent', 'pancreaticoduodenectomy', 'with', 'complete', 'surgical', 'resection', 'of', 'a', '5cm', 'moderately', 'differentiated', 'pancreatic', 'adenocarcinoma']","[0, 0, 0, 33, 0, 13, 33, 34, 0, 0, 21, 13, 14, 11, 25]"
"Although our patient underwent complete surgical resection, a pathological examination revealed a neoplastic invasion of the resected adjacent organs, and one out of the seven resected lymph nodes contained cancer (T3N1M0).","['O', 'O', 'O', 'O', 'B-Detailed_description', 'B-Therapeutic_procedure', 'I-Therapeutic_procedure', 'O', 'B-Diagnostic_procedure', 'I-Diagnostic_procedure', 'O', 'O', 'B-Sign_symptom', 'I-Sign_symptom', 'O', 'O', 'O', 'B-Biological_structure', 'I-Biological_structure', 'O', 'B-Quantitative_concept', 'I-Quantitative_concept', 'I-Quantitative_concept', 'I-Quantitative_concept', 'I-Quantitative_concept', 'O', 'B-Biological_structure', 'I-Biological_structure', 'O', 'B-Sign_symptom', 'O']","['although', 'our', 'patient', 'underwent', 'complete', 'surgical', 'resection', 'a', 'pathological', 'examination', 'revealed', 'a', 'neoplastic', 'invasion', 'of', 'the', 'resected', 'adjacent', 'organs', 'and', 'one', 'out', 'of', 'the', 'seven', 'resected', 'lymph', 'nodes', 'contained', 'cancer', 't3n1m0']","[0, 0, 0, 0, 13, 33, 34, 0, 19, 20, 0, 0, 9, 10, 0, 0, 0, 11, 12, 0, 73, 74, 74, 74, 74, 0, 11, 12, 0, 9, 0]"
"At that point, the oncology department recommended to proceed with adjuvant chemotherapy with gemcitabine (1000mg/m2 IV on days 1, 8, 15 on a 28-day cycle for six cycles) to try to reduce the likelihood of recurrence.","['O', 'O', 'O', 'O', 'B-Nonbiological_location', 'I-Nonbiological_location', 'B-Clinical_event', 'O', 'O', 'O', 'B-Detailed_description', 'B-Medication', 'O', 'B-Medication', 'O', 'B-Administration', 'O', 'B-Frequency', 'O', 'O', 'I-Frequency', 'I-Frequency', 'O', 'I-Frequency', 'I-Frequency', 'I-Frequency', 'I-Frequency', 'I-Frequency', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Sign_symptom']","['at', 'that', 'point', 'the', 'oncology', 'department', 'recommended', 'to', 'proceed', 'with', 'adjuvant', 'chemotherapy', 'with', 'gemcitabine', '1000mg/m2', 'iv', 'on', 'days', '1', '8', '15', 'on', 'a', '28-day', 'cycle', 'for', 'six', 'cycles', 'to', 'try', 'to', 'reduce', 'the', 'likelihood', 'of', 'recurrence']","[0, 0, 0, 0, 7, 8, 5, 0, 0, 0, 13, 57, 0, 57, 0, 63, 0, 43, 0, 0, 44, 44, 0, 44, 44, 44, 44, 44, 0, 0, 0, 0, 0, 0, 0, 9]"
"However, after completing two cycles (a total of six doses) of chemotherapy, he presented to the emergency department with worsening exertional dyspnea, three-pillow orthopnea, paroxysmal nocturnal dyspnea and fatigue.","['O', 'O', 'O', 'B-Quantitative_concept', 'I-Quantitative_concept', 'O', 'O', 'O', 'B-Quantitative_concept', 'I-Quantitative_concept', 'O', 'B-Medication', 'O', 'B-Clinical_event', 'O', 'O', 'B-Nonbiological_location', 'I-Nonbiological_location', 'O', 'O', 'B-Detailed_description', 'B-Sign_symptom', 'B-Detailed_description', 'B-Sign_symptom', 'B-Detailed_description', 'B-Detailed_description', 'B-Sign_symptom', 'O', 'B-Sign_symptom']","['however', 'after', 'completing', 'two', 'cycles', 'a', 'total', 'of', 'six', 'doses', 'of', 'chemotherapy', 'he', 'presented', 'to', 'the', 'emergency', 'department', 'with', 'worsening', 'exertional', 'dyspnea', 'three-pillow', 'orthopnea', 'paroxysmal', 'nocturnal', 'dyspnea', 'and', 'fatigue']","[0, 0, 0, 73, 74, 0, 0, 0, 73, 74, 0, 57, 0, 5, 0, 0, 7, 8, 0, 0, 13, 9, 13, 9, 13, 13, 9, 0, 9]"
"His physical examination revealed an elevated jugular venous pressure (JVP) (10cm above the sternal angle), bibasilar rales and +2 pitting edema of both lower extremities.","['O', 'B-Diagnostic_procedure', 'I-Diagnostic_procedure', 'O', 'O', 'B-Lab_value', 'B-Diagnostic_procedure', 'I-Diagnostic_procedure', 'I-Diagnostic_procedure', 'O', 'O', 'I-Lab_value', 'I-Lab_value', 'I-Lab_value', 'I-Lab_value', 'B-Detailed_description', 'B-Sign_symptom', 'O', 'O', 'B-Detailed_description', 'B-Sign_symptom', 'O', 'B-Biological_structure', 'I-Biological_structure', 'I-Biological_structure']","['his', 'physical', 'examination', 'revealed', 'an', 'elevated', 'jugular', 'venous', 'pressure', 'jvp', '10cm', 'above', 'the', 'sternal', 'angle', 'bibasilar', 'rales', 'and', '2', 'pitting', 'edema', 'of', 'both', 'lower', 'extremities']","[0, 19, 20, 0, 0, 23, 19, 20, 20, 0, 0, 24, 24, 24, 24, 13, 9, 0, 0, 13, 9, 0, 11, 12, 12]"
Cardiac auscultation revealed a gallop rhythm with an S3 and a grade 3 holosystolic murmur over precordium.,"['B-Biological_structure', 'B-Diagnostic_procedure', 'O', 'O', 'B-Sign_symptom', 'I-Sign_symptom', 'O', 'O', 'B-Detailed_description', 'O', 'O', 'B-Lab_value', 'I-Lab_value', 'B-Detailed_description', 'B-Sign_symptom', 'O', 'B-Biological_structure']","['cardiac', 'auscultation', 'revealed', 'a', 'gallop', 'rhythm', 'with', 'an', 's3', 'and', 'a', 'grade', '3', 'holosystolic', 'murmur', 'over', 'precordium']","[11, 19, 0, 0, 9, 10, 0, 0, 13, 0, 0, 23, 24, 13, 9, 0, 11]"
A chest X-ray showed cardiomegaly with mild to moderate-sized right-sided pleural effusion.,"['O', 'B-Biological_structure', 'B-Diagnostic_procedure', 'O', 'B-Sign_symptom', 'O', 'B-Severity', 'O', 'B-Severity', 'B-Detailed_description', 'B-Disease_disorder', 'I-Disease_disorder']","['a', 'chest', 'x-ray', 'showed', 'cardiomegaly', 'with', 'mild', 'to', 'moderate-sized', 'right-sided', 'pleural', 'effusion']","[0, 11, 19, 0, 9, 0, 49, 0, 49, 13, 25, 26]"
It was thought that his presentation was consistent with fluid overload secondary to congestive heart failure (CHF) and he was started on intravenous (IV) furosemide with partial improvement in his symptoms.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Sign_symptom', 'I-Sign_symptom', 'O', 'O', 'B-Disease_disorder', 'I-Disease_disorder', 'I-Disease_disorder', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Administration', 'O', 'B-Medication', 'O', 'O', 'O', 'O', 'O', 'B-Sign_symptom']","['it', 'was', 'thought', 'that', 'his', 'presentation', 'was', 'consistent', 'with', 'fluid', 'overload', 'secondary', 'to', 'congestive', 'heart', 'failure', 'chf', 'and', 'he', 'was', 'started', 'on', 'intravenous', 'iv', 'furosemide', 'with', 'partial', 'improvement', 'in', 'his', 'symptoms']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 10, 0, 0, 25, 26, 26, 0, 0, 0, 0, 0, 0, 63, 0, 57, 0, 0, 0, 0, 0, 9]"
